Simulation started at: 2015-11-03 12:05:18
Input file: ydata-fp-td-clicks-v2_0.20111002-08.txt
Policy: eAnnealingContextual
Policy,Input File,Evaluations,CTR,Cumulative Runtime (s)
eAnnealingContextual,y,20500,0.0465853658537,496.979
eAnnealingContextual,y,20600,0.0464563106796,499.492
eAnnealingContextual,y,20700,0.0464251207729,501.981
eAnnealingContextual,y,20800,0.0463942307692,504.477
eAnnealingContextual,y,20900,0.0463157894737,506.828
eAnnealingContextual,y,21000,0.0462857142857,509.195
eAnnealingContextual,y,21100,0.0462559241706,511.433
eAnnealingContextual,y,21200,0.0464150943396,513.787
eAnnealingContextual,y,21300,0.0463849765258,515.87
eAnnealingContextual,y,21400,0.0464018691589,517.843
eAnnealingContextual,y,21500,0.0462790697674,520.417
eAnnealingContextual,y,21600,0.0462037037037,522.823
eAnnealingContextual,y,21700,0.0460829493088,525.299
eAnnealingContextual,y,21800,0.0460091743119,527.707
eAnnealingContextual,y,21900,0.0459360730594,530.386
eAnnealingContextual,y,22000,0.0459090909091,532.382
eAnnealingContextual,y,22100,0.0460180995475,535.006
eAnnealingContextual,y,22200,0.0459009009009,537.197
eAnnealingContextual,y,22300,0.0458295964126,539.476
eAnnealingContextual,y,22400,0.0457142857143,541.946
eAnnealingContextual,y,22500,0.0456,544.498
eAnnealingContextual,y,22600,0.0454424778761,546.63
eAnnealingContextual,y,22700,0.0454185022026,549.065
eAnnealingContextual,y,22800,0.045350877193,551.089
eAnnealingContextual,y,22900,0.0452401746725,553.468
eAnnealingContextual,y,23000,0.0451739130435,555.83
eAnnealingContextual,y,23100,0.0452380952381,557.796
eAnnealingContextual,y,23200,0.0451293103448,559.64
eAnnealingContextual,y,23300,0.0450214592275,561.541
eAnnealingContextual,y,23400,0.0449572649573,563.555
eAnnealingContextual,y,23500,0.0448510638298,565.731
eAnnealingContextual,y,23600,0.0447457627119,567.777
eAnnealingContextual,y,23700,0.0447257383966,570.229
eAnnealingContextual,y,23800,0.0448319327731,572.514
eAnnealingContextual,y,23900,0.0448535564854,574.916
eAnnealingContextual,y,24000,0.04475,577.169
eAnnealingContextual,y,24100,0.0447302904564,579.796
eAnnealingContextual,y,24200,0.0446280991736,581.893
eAnnealingContextual,y,24300,0.0446502057613,584.366
eAnnealingContextual,y,24400,0.0447131147541,586.304
eAnnealingContextual,y,24500,0.0447755102041,588.483
eAnnealingContextual,y,24600,0.0447967479675,590.762
eAnnealingContextual,y,24700,0.0447773279352,592.631
eAnnealingContextual,y,24800,0.0447983870968,595.037
eAnnealingContextual,y,24900,0.0448192771084,597.33
eAnnealingContextual,y,25000,0.045,599.636
eAnnealingContextual,y,25100,0.0450597609562,602.816
eAnnealingContextual,y,25200,0.0450396825397,604.9
eAnnealingContextual,y,25300,0.0451778656126,606.838
eAnnealingContextual,y,25400,0.045157480315,609.15
eAnnealingContextual,y,25500,0.0451764705882,611.368
eAnnealingContextual,y,25600,0.0451953125,613.503
eAnnealingContextual,y,25700,0.0451361867704,616.3
eAnnealingContextual,y,25800,0.0453875968992,618.408
eAnnealingContextual,y,25900,0.0453281853282,620.498
eAnnealingContextual,y,26000,0.0454230769231,622.552
eAnnealingContextual,y,26100,0.0454406130268,624.841
eAnnealingContextual,y,26200,0.0454580152672,626.93
eAnnealingContextual,y,26300,0.0455513307985,629.54
eAnnealingContextual,y,26400,0.0456060606061,631.768
eAnnealingContextual,y,26500,0.0455849056604,633.816
eAnnealingContextual,y,26600,0.0455263157895,636.358
eAnnealingContextual,y,26700,0.045468164794,638.811
eAnnealingContextual,y,26800,0.0454104477612,640.893
eAnnealingContextual,y,26900,0.0453159851301,643.069
eAnnealingContextual,y,27000,0.0452962962963,645.094
eAnnealingContextual,y,27100,0.0452029520295,647.56
eAnnealingContextual,y,27200,0.0453676470588,649.46
eAnnealingContextual,y,27300,0.0454212454212,651.708
eAnnealingContextual,y,27400,0.0454379562044,654.347
eAnnealingContextual,y,27500,0.0454545454545,656.323
eAnnealingContextual,y,27600,0.045615942029,658.492
eAnnealingContextual,y,27700,0.0457039711191,660.726
eAnnealingContextual,y,27800,0.0457553956835,663.211
eAnnealingContextual,y,27900,0.0458064516129,665.309
eAnnealingContextual,y,28000,0.0457857142857,667.459
eAnnealingContextual,y,28100,0.0457295373665,669.636
eAnnealingContextual,y,28200,0.0458156028369,671.509
eAnnealingContextual,y,28300,0.0458303886926,673.87
eAnnealingContextual,y,28400,0.0459507042254,676.308
eAnnealingContextual,y,28500,0.0458245614035,678.654
eAnnealingContextual,y,28600,0.0458041958042,680.92
eAnnealingContextual,y,28700,0.0458885017422,683.308
eAnnealingContextual,y,28800,0.0460069444444,685.507
eAnnealingContextual,y,28900,0.0460207612457,687.822
eAnnealingContextual,y,29000,0.0460689655172,690.045
eAnnealingContextual,y,29100,0.0462199312715,692.391
