Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
175000 3471 171 0.0492653414002
180000 3566 178 0.0499158721256
185000 3678 182 0.0494834148994
190000 3768 186 0.0493630573248
195000 3857 193 0.0500388903293
200000 3966 200 0.0504286434695
205000 4075 205 0.0503067484663
210000 4174 207 0.0495927168184
215000 4286 215 0.0501633224452
220000 4382 219 0.0499771793702
225000 4463 223 0.0499663903204
230000 4554 230 0.0505050505051
235000 4664 232 0.0497427101201
240000 4757 238 0.0500315324785
245000 4849 245 0.0505258816251
250000 4950 247 0.049898989899
255000 5034 250 0.0496622963846
260000 5132 254 0.0494933749026
265000 5236 259 0.0494652406417
270000 5338 261 0.0488947171225
275000 5435 264 0.0485740570377
280000 5547 270 0.0486749594375
285000 5646 277 0.0490612823238
290000 5746 284 0.0494256874347
295000 5837 291 0.0498543772486
300000 5919 297 0.0501773948302
305000 6012 307 0.0510645375915
310000 6092 318 0.0521996060407
315000 6169 325 0.0526827686821
320000 6274 326 0.0519604717883
325000 6358 329 0.0517458320226
330000 6470 334 0.0516228748068
335000 6576 337 0.0512469586375
340000 6662 339 0.050885619934
345000 6771 347 0.0512479692808
350000 6870 349 0.0508005822416
355000 6983 356 0.0509809537448
360000 7072 361 0.0510463800905
365000 7170 368 0.0513249651325
370000 7277 370 0.050845128487
375000 7376 375 0.0508405639913
380000 7474 380 0.0508429221301
385000 7556 382 0.0505558496559
390000 7652 387 0.0505750130685
395000 7747 391 0.0504711501226
400000 7851 393 0.0500573175392
405000 7948 398 0.0500754906895
410000 8043 407 0.0506030088276
415000 8138 414 0.0508724502335
420000 8250 421 0.0510303030303
425000 8349 425 0.0509042999162
430000 8455 427 0.0505026611473
435000 8555 431 0.0503798947984
440000 8649 436 0.0504104520754
445000 8753 444 0.0507254655547
450000 8872 450 0.0507213706041
455000 8965 453 0.0505298382599
460000 9063 459 0.0506454816286
465000 9158 462 0.0504476960035
470000 9269 466 0.0502751105837
475000 9382 471 0.0502025154551
480000 9465 477 0.0503961965135
485000 9562 484 0.0506170257268
490000 9683 492 0.0508106991635
495000 9761 494 0.0506095686917
500000 9843 500 0.050797521081
505000 9959 506 0.0508083140878
510000 10069 510 0.0506505114709
515000 10158 514 0.0506005119118
520000 10260 517 0.0503898635478
525000 10379 520 0.0501011658156
530000 10485 522 0.0497854077253
535000 10585 523 0.0494095418044
540000 10696 528 0.0493642483171
545000 10804 535 0.049518696779
550000 10909 538 0.0493170776423
555000 11005 540 0.0490686051795
560000 11122 543 0.0488221542888
565000 11230 548 0.0487978628673
570000 11323 549 0.0484853837322
575000 11426 552 0.0483108699457
580000 11526 556 0.0482387645324
585000 11624 561 0.0482622161046
590000 11725 563 0.0480170575693
595000 11816 569 0.0481550440081
600000 11899 571 0.0479872258173
605000 11998 578 0.0481746957826
610000 12100 578 0.0477685950413
615000 12200 582 0.0477049180328
620000 12279 585 0.0476423161495
625000 12383 588 0.0474844544941
630000 12486 591 0.0473330129745
635000 12591 596 0.0473353983004
640000 12692 600 0.047273873306
645000 12783 606 0.0474067120394
650000 12890 613 0.0475562451513
655000 12982 616 0.0474503158219
660000 13064 623 0.0476883037355
665000 13157 627 0.0476552405564
670000 13262 629 0.0474287437792
675000 13347 632 0.0473514647486
680000 13446 639 0.0475234270415
685000 13555 647 0.0477314644043
690000 13650 650 0.047619047619
695000 13755 656 0.0476917484551
700000 13855 663 0.0478527607362
705000 13969 667 0.0477485861551
710000 14074 672 0.0477476197243
715000 14170 675 0.0476358503881
720000 14276 682 0.04777248529
725000 14372 684 0.047592541052
730000 14488 689 0.0475565985643
735000 14591 695 0.0476321019807
740000 14698 699 0.0475574908151
745000 14792 708 0.0478637101136
750000 14886 711 0.0477629987908
755000 14981 712 0.0475268673653
760000 15085 716 0.0474643685781
765000 15192 722 0.0475250131648
770000 15305 725 0.047370140477
775000 15397 731 0.0474767811911
780000 15506 739 0.047658970721
785000 15609 746 0.0477929399705
790000 15690 754 0.0480560866794
795000 15789 761 0.04819811261
800000 15874 767 0.0483180042837
805000 15956 768 0.048132364001
810000 16049 772 0.0481026855256
815000 16149 777 0.0481144343303
820000 16263 781 0.0480231199656
825000 16361 788 0.0481633152008
830000 16461 799 0.0485389709009
835000 16562 803 0.0484844825504
840000 16663 807 0.048430654744
845000 16750 809 0.0482985074627
850000 16849 818 0.0485488753042
855000 16947 824 0.0486221750162
860000 17046 827 0.0485157808283
865000 17159 833 0.0485459525613
870000 17262 842 0.0487776619163
875000 17374 845 0.0486358927132
880000 17473 854 0.048875407772
885000 17574 859 0.0488790258336
890000 17678 864 0.0488743070483
895000 17776 869 0.0488861386139
900000 17871 875 0.0489620054837
905000 17978 879 0.0488930915563
910000 18099 883 0.0487872258136
915000 18209 891 0.0489318468889
920000 18317 892 0.0486979308839
925000 18405 896 0.0486824232546
930000 18517 898 0.0484959766701
935000 18619 904 0.0485525538428
940000 18731 910 0.0485825636645
945000 18844 914 0.0485035024411
950000 18958 920 0.0485283257728
955000 19079 925 0.0484826248755
960000 19184 930 0.0484778982485
965000 19276 937 0.048609670056
970000 19359 942 0.0486595381993
975000 19456 948 0.0487253289474
980000 19561 953 0.0487193906242
985000 19668 960 0.0488102501525
990000 19768 964 0.0487656819102
995000 19870 966 0.0486160040262
1000000 19975 969 0.0485106382979
1005000 20063 973 0.0484972337138
1010000 20151 980 0.0486328221924
1015000 20256 986 0.0486769352291
1020000 20363 993 0.0487649167608
1025000 20469 999 0.0488055107724
1030000 20564 1002 0.0487259288076
1035000 20659 1008 0.0487922939155
1040000 20767 1012 0.0487311600135
1045000 20866 1017 0.0487395763443
1050000 20974 1026 0.048917707638
1055000 21074 1030 0.0488753914777
1060000 21169 1036 0.0489394869857
1065000 21276 1040 0.0488813686783
1070000 21367 1045 0.0489071933355
1075000 21447 1050 0.0489578962093
1080000 21533 1054 0.048948126132
1085000 21630 1059 0.048959778086
1090000 21731 1063 0.0489162946942
1095000 21828 1065 0.0487905442551
1100000 21947 1067 0.0486171230692
1105000 22032 1070 0.0485657225853
