Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
2030000 40610 1954 0.0481162275302
2035000 40716 1959 0.048113763631
2040000 40813 1962 0.0480729179428
2045000 40918 1965 0.0480228750183
2050000 41029 1969 0.0479904457823
2055000 41141 1977 0.0480542524489
2060000 41248 1979 0.0479780837859
2065000 41358 1987 0.0480439092799
2070000 41435 1994 0.0481235670327
2075000 41529 2002 0.0482072768427
2080000 41626 2008 0.0482390813434
2085000 41719 2014 0.0482753661401
2090000 41834 2018 0.0482382750872
2095000 41930 2022 0.0482232291915
2100000 42021 2026 0.048213988244
2105000 42117 2030 0.0481990645108
2110000 42208 2032 0.0481425322214
2115000 42317 2036 0.0481130514923
2120000 42407 2042 0.0481524276652
2125000 42493 2043 0.0480785070482
2130000 42586 2049 0.0481144037947
2135000 42680 2057 0.0481958762887
2140000 42783 2060 0.048149966108
2145000 42884 2066 0.048176476075
2150000 42992 2068 0.04810197246
2155000 43081 2075 0.0481650843759
2160000 43177 2081 0.0481969567131
2165000 43278 2087 0.0482231156708
2170000 43370 2094 0.0482822227346
2175000 43455 2101 0.0483488666437
2180000 43562 2104 0.0482989761719
2185000 43662 2108 0.0482799688516
2190000 43761 2110 0.0482164484358
2195000 43852 2113 0.0481848034297
2200000 43956 2118 0.0481845481845
2205000 44062 2124 0.048204802324
2210000 44171 2129 0.048199044622
2215000 44253 2133 0.0482001220256
2220000 44353 2138 0.0482041801006
2225000 44434 2143 0.0482288337759
2230000 44555 2148 0.0482100774324
2235000 44661 2157 0.0482971720293
2240000 44742 2160 0.0482767869116
2245000 44854 2167 0.0483123021358
2250000 44953 2170 0.0482726403132
2255000 45065 2179 0.0483523798957
2260000 45176 2184 0.048344253586
2265000 45261 2189 0.0483639336294
2270000 45359 2192 0.0483255803699
2275000 45440 2197 0.048349471831
2280000 45542 2198 0.0482631417153
2285000 45655 2206 0.0483189135911
2290000 45753 2211 0.0483247000197
2295000 45858 2216 0.0483230843037
2300000 45949 2221 0.0483361988291
2305000 46062 2227 0.0483478789458
2310000 46171 2233 0.0483636914947
2315000 46264 2239 0.048396161162
2320000 46381 2243 0.0483603199586
2325000 46475 2249 0.0483916083916
2330000 46571 2251 0.048334800627
2335000 46661 2257 0.0483701592336
2340000 46760 2262 0.048374679213
2345000 46855 2264 0.048319282894
2350000 46950 2268 0.0483067092652
2355000 47053 2274 0.0483284806495
2360000 47148 2276 0.0482735216764
2365000 47240 2280 0.0482641828959
2370000 47332 2288 0.048339389842
2375000 47437 2294 0.0483588759829
2380000 47522 2300 0.048398636421
2385000 47633 2306 0.0484118153381
2390000 47729 2314 0.0484820549352
2395000 47826 2316 0.0484255425919
2400000 47920 2321 0.0484348914858
2405000 48012 2326 0.0484462217779
2410000 48112 2335 0.0485325906219
2415000 48205 2341 0.0485634270304
2420000 48297 2345 0.048553740398
2425000 48385 2347 0.0485067686266
2430000 48489 2350 0.0484646002186
2435000 48585 2353 0.0484305855717
2440000 48674 2358 0.0484447548999
2445000 48790 2363 0.0484320557491
2450000 48897 2367 0.0484078777839
2455000 49013 2373 0.0484157264399
2460000 49126 2378 0.0484061393152
2465000 49218 2381 0.0483766101833
2470000 49326 2384 0.0483315087378
2475000 49448 2390 0.0483336029769
2480000 49540 2397 0.0483851433185
2485000 49642 2403 0.0484065911929
2490000 49747 2410 0.0484451323698
2495000 49857 2420 0.0485388210281
2500000 49941 2426 0.0485773212391
2505000 50046 2428 0.0485153658634
2510000 50143 2436 0.0485810581736
2515000 50234 2445 0.0486722140383
2520000 50350 2452 0.0486991062562
2525000 50440 2457 0.0487113402062
2530000 50535 2460 0.048679133274
2535000 50640 2464 0.0486571879937
2540000 50749 2472 0.0487103194152
2545000 50850 2478 0.0487315634218
2550000 50948 2483 0.0487359660831
2555000 51035 2485 0.0486920740668
2560000 51158 2490 0.0486727393565
2565000 51257 2492 0.0486177497708
2570000 51350 2497 0.0486270691334
2575000 51452 2501 0.0486084117235
2580000 51551 2507 0.0486314523482
2585000 51665 2515 0.0486789896448
2590000 51779 2519 0.0486490662238
2595000 51877 2524 0.0486535458874
2600000 51986 2531 0.048686184742
2605000 52103 2537 0.0486920138956
2610000 52198 2545 0.0487566573432
2615000 52303 2550 0.0487543735541
2620000 52390 2555 0.048768849017
2625000 52490 2559 0.0487521432654
2630000 52582 2562 0.0487238979118
2635000 52679 2566 0.0487101121889
2640000 52778 2570 0.0486945318125
2645000 52867 2573 0.0486693022112
2650000 52957 2576 0.0486432388542
2655000 53053 2585 0.0487248600456
2660000 53155 2590 0.048725425642
2665000 53249 2594 0.0487145298503
2670000 53372 2602 0.0487521546879
2675000 53472 2609 0.0487918910832
2680000 53573 2617 0.0488492337558
2685000 53670 2625 0.0489100055897
2690000 53755 2635 0.0490186959353
2695000 53868 2639 0.0489901240068
2700000 53967 2643 0.0489743732281
2705000 54063 2649 0.0489983907663
2710000 54162 2654 0.049001144714
2715000 54279 2664 0.0490797546012
2720000 54371 2667 0.0490518842765
2725000 54467 2672 0.049057227312
2730000 54577 2679 0.0490866115763
2735000 54684 2684 0.0490819983908
2740000 54780 2685 0.0490142387733
2745000 54896 2689 0.0489835324978
2750000 54987 2694 0.0489933984396
2755000 55081 2702 0.0490550280496
2760000 55190 2708 0.0490668599384
2765000 55297 2714 0.049080420276
2770000 55409 2721 0.0491075457056
2775000 55513 2722 0.0490335597067
2780000 55610 2728 0.0490559251933
2785000 55717 2736 0.0491052999982
2790000 55840 2743 0.0491224928367
2795000 55952 2749 0.0491313983414
2800000 56051 2751 0.0490803018679
2805000 56145 2759 0.0491406180426
2810000 56248 2764 0.0491395249609
2815000 56344 2766 0.0490912963226
2820000 56433 2776 0.0491910761434
2825000 56511 2780 0.0491939622374
2830000 56611 2787 0.0492307148787
2835000 56713 2790 0.0491950699134
2840000 56833 2795 0.0491791740714
2845000 56927 2802 0.0492209320709
2850000 56998 2804 0.0491947085863
2855000 57087 2810 0.0492231155955
2860000 57204 2818 0.0492622893504
2865000 57305 2825 0.0492976180089
2870000 57413 2833 0.0493442251755
2875000 57505 2842 0.0494217894096
2880000 57621 2849 0.0494437791777
2885000 57724 2854 0.0494421730996
2890000 57822 2860 0.0494621424371
2895000 57919 2866 0.0494828985307
2900000 58020 2873 0.0495174077904
2905000 58114 2879 0.0495405582132
2910000 58214 2885 0.0495585254406
2915000 58324 2887 0.0494993484672
2920000 58436 2897 0.0495756040797
2925000 58526 2899 0.0495335406486
2930000 58628 2908 0.0496008733029
2935000 58734 2911 0.0495624340246
2940000 58857 2918 0.0495777902374
2945000 58954 2924 0.0495979916545
2950000 59054 2930 0.0496156060555
2955000 59153 2933 0.0495832840262
2960000 59241 2936 0.0495602707584
2965000 59356 2940 0.0495316395984
2970000 59455 2945 0.0495332604491
2975000 59550 2955 0.0496221662469
2980000 59639 2959 0.0496151846946
2985000 59732 2960 0.0495546775598
2990000 59829 2963 0.0495244780959
2995000 59933 2967 0.049505280897
3000000 60023 2972 0.0495143528314
3005000 60116 2976 0.0495042917027
3010000 60217 2984 0.049554112626
3015000 60316 2992 0.0496054114994
3020000 60419 2997 0.0496036015161
3025000 60521 2999 0.0495530477025
3030000 60621 3005 0.0495702809258
3035000 60719 3007 0.0495232134917
3040000 60821 3010 0.0494894855395
3045000 60922 3017 0.0495223400414
3050000 61007 3024 0.0495680823512
3055000 61105 3029 0.0495704115866
3060000 61193 3031 0.0495318091939
3065000 61288 3036 0.0495366140191
3070000 61390 3040 0.049519465711
3075000 61475 3042 0.0494835298902
3080000 61576 3050 0.049532285306
3085000 61688 3056 0.0495396187265
3090000 61789 3060 0.0495233779475
3095000 61915 3068 0.0495518048938
3100000 62034 3073 0.0495373504852
3105000 62129 3082 0.0496064639701
3110000 62227 3089 0.0496408311505
3115000 62349 3096 0.0496559688207
3120000 62443 3101 0.0496612910975
3125000 62548 3106 0.0496578627614
3130000 62647 3111 0.0496592015579
3135000 62757 3118 0.049683700623
3140000 62856 3123 0.0496849942726
3145000 62956 3129 0.0497013787407
3150000 63049 3136 0.0497390918175
3155000 63162 3142 0.0497450999018
3160000 63248 3145 0.0497248924867
3165000 63354 3149 0.0497048331597
3170000 63461 3151 0.0496525425064
3175000 63571 3159 0.0496924698369
3180000 63682 3168 0.0497471813071
3185000 63777 3177 0.0498141963404
3190000 63890 3183 0.0498200031304
3195000 63990 3190 0.049851539303
3200000 64087 3195 0.0498541045766
3205000 64197 3201 0.0498621430908
3210000 64290 3205 0.0498522320734
3215000 64392 3208 0.0498198533979
3220000 64498 3216 0.0498620112252
3225000 64601 3224 0.0499063481989
3230000 64702 3231 0.0499366325616
3235000 64819 3236 0.0499236335025
3240000 64936 3246 0.0499876801774
3245000 65026 3252 0.0500107649248
3250000 65121 3254 0.0499685201394
3255000 65232 3263 0.0500214618592
3260000 65347 3268 0.0500099468989
3265000 65422 3275 0.0500596129742
3270000 65515 3278 0.0500343432802
3275000 65616 3284 0.050048768593
3280000 65712 3291 0.0500821767714
3285000 65805 3295 0.0500721829648
3290000 65913 3302 0.0500963391137
3295000 66008 3305 0.0500696885226
3300000 66131 3309 0.0500370476781
3305000 66224 3311 0.0499969799468
3310000 66293 3313 0.0499751104943
3315000 66405 3317 0.0499510579023
3320000 66490 3320 0.0499323206497
3325000 66578 3323 0.0499113821382
3330000 66684 3327 0.0498920280727
3335000 66787 3332 0.0498899486427
3340000 66889 3336 0.0498736713062
3345000 66984 3343 0.0499074405828
3350000 67092 3347 0.0498867227091
3355000 67190 3351 0.0498734930793
3360000 67300 3354 0.0498365527489
3365000 67403 3361 0.0498642493658
3370000 67503 3369 0.0499088929381
3375000 67609 3375 0.0499193894304
3380000 67712 3379 0.0499025283554
3385000 67821 3390 0.0499845180696
3390000 67919 3394 0.0499712893299
3395000 68006 3397 0.0499514748699
3400000 68122 3399 0.0498957752268
3405000 68212 3403 0.0498885826541
3410000 68318 3405 0.0498404520039
3415000 68420 3411 0.0498538439053
3420000 68524 3412 0.0497927733349
3425000 68618 3415 0.0497682823749
3430000 68707 3420 0.0497765875384
3435000 68815 3428 0.0498147206278
3440000 68914 3432 0.0498012014975
3445000 69020 3436 0.0497826716894
3450000 69119 3440 0.0497692385596
3455000 69226 3444 0.0497500938954
3460000 69335 3450 0.0497584192688
3465000 69430 3456 0.0497767535647
3470000 69532 3461 0.0497756428695
3475000 69627 3465 0.0497651773019
3480000 69732 3472 0.0497906269718
3485000 69835 3475 0.0497601489225
3490000 69939 3480 0.0497576459486
3495000 70032 3488 0.0498058030615
3500000 70124 3495 0.0498402829274
3505000 70231 3501 0.0498497814355
3510000 70323 3504 0.0498272258009
3515000 70426 3509 0.0498253485928
3520000 70533 3521 0.0499198956517
3525000 70637 3528 0.0499454959865
3530000 70748 3531 0.0499095380788
3535000 70840 3539 0.0499576510446
3540000 70937 3543 0.0499457264897
3545000 71027 3548 0.0499528348375
3550000 71128 3555 0.0499803171747
3555000 71230 3559 0.0499649024288
3560000 71333 3566 0.0499908878079
3565000 71431 3573 0.0500202993098
3570000 71534 3579 0.0500321525428
3575000 71642 3584 0.050026520756
3580000 71726 3587 0.050009759362
3585000 71811 3589 0.0499784155631
3590000 71910 3593 0.0499652343207
3595000 72004 3597 0.0499555580246
3600000 72117 3605 0.0499882135973
3605000 72210 3609 0.0499792272538
3610000 72307 3613 0.0499674996888
3615000 72426 3617 0.0499406290559
3620000 72522 3621 0.049929676512
3625000 72616 3626 0.0499338988653
3630000 72716 3638 0.0500302546895
3635000 72812 3643 0.0500329615997
3640000 72891 3645 0.0500061736017
3645000 72991 3649 0.0499924648244
3650000 73105 3658 0.0500376171261
3655000 73210 3665 0.0500614670127
3660000 73313 3670 0.0500593346337
3665000 73423 3676 0.0500660555957
3670000 73514 3685 0.0501265065158
3675000 73614 3689 0.0501127502921
3680000 73725 3694 0.0501051203798
3685000 73822 3702 0.0501476524613
3690000 73924 3708 0.050159623397
3695000 74006 3711 0.0501445828717
3700000 74116 3714 0.0501106373792
3705000 74212 3721 0.0501401390611
3710000 74327 3729 0.050170193873
3715000 74439 3736 0.050188745147
3720000 74557 3746 0.0502434379066
3725000 74660 3748 0.0502009107956
3730000 74760 3753 0.0502006420546
3735000 74863 3759 0.0502117200753
3740000 74977 3770 0.0502820865065
3745000 75090 3780 0.050339592489
3750000 75189 3781 0.0502866110734
3755000 75288 3787 0.0503001806397
3760000 75370 3794 0.0503383309009
3765000 75456 3798 0.0503339694656
3770000 75562 3800 0.0502898282205
3775000 75668 3805 0.050285457525
3780000 75783 3812 0.0503015188103
3785000 75883 3815 0.0502747650989
3790000 75977 3823 0.0503178593522
3795000 76086 3830 0.0503377756749
3800000 76184 3838 0.0503780321327
3805000 76282 3842 0.050365748145
3810000 76366 3846 0.050362726868
3815000 76455 3849 0.0503433392191
3820000 76558 3857 0.0503801039735
3825000 76652 3860 0.0503574596879
3830000 76748 3870 0.0504247667692
3835000 76858 3874 0.0504046423274
3840000 76947 3878 0.0503983261206
3845000 77059 3882 0.0503769838695
3850000 77157 3889 0.0504037222805
3855000 77255 3897 0.0504433370008
3860000 77362 3903 0.0504511258758
3865000 77471 3909 0.0504575905823
3870000 77580 3914 0.0504511472029
3875000 77664 3917 0.0504352080758
3880000 77769 3923 0.0504442644241
3885000 77855 3927 0.0504399203648
3890000 77948 3933 0.0504567147329
3895000 78045 3937 0.0504452559421
3900000 78146 3944 0.0504696337624
3905000 78240 3945 0.0504217791411
3910000 78334 3950 0.0504251027651
3915000 78439 3955 0.0504213465241
3920000 78545 3960 0.0504169584315
3925000 78633 3963 0.0503986875739
3930000 78732 3968 0.0503988213179
3935000 78814 3970 0.0503717613622
3940000 78906 3974 0.0503637239247
3945000 78990 3978 0.0503608051652
3950000 79090 3981 0.0503350613225
3955000 79185 3983 0.0502999305424
3960000 79279 3985 0.0502655179808
3965000 79387 3992 0.050285311197
3970000 79504 3998 0.0502867780237
3975000 79607 4007 0.0503347695554
3980000 79710 4011 0.0503199096726
3985000 79823 4016 0.0503113137817
3990000 79923 4022 0.0503234363074
3995000 80027 4024 0.0502830294776
4000000 80119 4029 0.0502876970506
4005000 80219 4038 0.0503372019098
4010000 80323 4041 0.0503093758948
4015000 80415 4045 0.0503015606541
4020000 80496 4046 0.0502633671238
4025000 80599 4051 0.0502611694934
4030000 80694 4054 0.0502391751555
4035000 80791 4057 0.0502159894048
4040000 80903 4060 0.0501835531439
4045000 81006 4066 0.050193812804
4050000 81096 4072 0.050212094308
4055000 81195 4078 0.0502247675349
4060000 81301 4084 0.0502330844639
4065000 81395 4088 0.0502242152466
4070000 81506 4094 0.0502294309621
4075000 81607 4098 0.0502162804661
4080000 81708 4103 0.0502154011847
4085000 81800 4110 0.0502444987775
4090000 81897 4115 0.0502460407585
4095000 81992 4117 0.0502122158259
4100000 82087 4120 0.0501906513821
4105000 82175 4123 0.0501734104046
4110000 82259 4128 0.0501829587036
4115000 82368 4134 0.0501893939394
4120000 82473 4143 0.05023462224
4125000 82583 4150 0.0502524732693
4130000 82668 4154 0.0502491895292
4135000 82777 4161 0.0502675864069
4140000 82879 4164 0.0502419189421
4145000 82972 4166 0.0502097092995
4150000 83079 4170 0.0501931896147
4155000 83179 4177 0.0502170018875
4160000 83289 4185 0.050246731261
4165000 83400 4190 0.0502398081535
4170000 83488 4192 0.050210808739
4175000 83583 4197 0.0502135601737
4180000 83683 4206 0.0502611044059
4185000 83775 4212 0.0502775290958
4190000 83885 4220 0.0503069678727
4195000 83974 4222 0.050277466835
4200000 84088 4227 0.0502687660546
4205000 84194 4231 0.0502529871487
4210000 84301 4237 0.050260376508
4215000 84418 4247 0.0503091757682
4220000 84529 4255 0.0503377539069
4225000 84632 4257 0.050300122885
4230000 84735 4260 0.0502743848469
4235000 84832 4262 0.0502404752923
4240000 84927 4271 0.0502902492729
4245000 85035 4275 0.0502734168284
4250000 85128 4283 0.0503124706325
4255000 85224 4288 0.0503144654088
4260000 85324 4294 0.0503258168862
4265000 85414 4296 0.0502962043693
4270000 85506 4299 0.0502771735317
4275000 85602 4304 0.0502791990841
4280000 85716 4309 0.0502706612534
4285000 85821 4313 0.050255764906
4290000 85910 4317 0.050250261902
4295000 86015 4328 0.0503168052084
4300000 86119 4332 0.0503024884172
4305000 86229 4339 0.0503194980807
4310000 86337 4343 0.0503028828891
4315000 86432 4345 0.0502707330618
4320000 86523 4350 0.0502756492493
4325000 86629 4356 0.0502833923975
4330000 86740 4363 0.0502997463685
4335000 86838 4365 0.0502660125751
4340000 86926 4372 0.0502956537745
4345000 87030 4376 0.0502815121223
4350000 87135 4387 0.0503471624491
4355000 87210 4390 0.0503382639606
4360000 87316 4394 0.0503229648633
4365000 87420 4402 0.0503546099291
4370000 87522 4410 0.0503873311853
4375000 87614 4414 0.0503800762435
4380000 87697 4419 0.0503894089878
4385000 87812 4429 0.0504372978636
4390000 87925 4436 0.0504520898493
4395000 88032 4439 0.0504248455107
4400000 88151 4444 0.0504134950256
4405000 88259 4448 0.0503971266386
4410000 88367 4455 0.0504147475868
4415000 88464 4464 0.0504612045578
4420000 88557 4467 0.0504420881466
4425000 88655 4472 0.0504427274265
4430000 88755 4476 0.050430961636
4435000 88852 4483 0.0504546886958
4440000 88946 4486 0.0504350954512
4445000 89054 4491 0.0504300761336
4450000 89139 4499 0.0504717351552
4455000 89236 4504 0.0504729033126
4460000 89339 4510 0.0504818724185
4465000 89442 4514 0.0504684600076
4470000 89554 4522 0.0504946736048
4475000 89641 4526 0.0504902890418
4480000 89734 4532 0.0505048253728
4485000 89838 4536 0.0504908835905
4490000 89922 4539 0.0504770801361
4495000 90023 4542 0.0504537729247
4500000 90126 4545 0.0504293988416
4505000 90246 4555 0.0504731511646
4510000 90348 4559 0.0504604418471
4515000 90443 4562 0.0504406090024
4520000 90555 4563 0.0503892661918
4525000 90649 4567 0.0503811404428
4530000 90740 4572 0.0503857174344
4535000 90835 4576 0.0503770573017
4540000 90936 4584 0.0504090789126
4545000 91018 4587 0.0503966248434
4550000 91093 4591 0.0503990427365
4555000 91180 4596 0.0504057907436
4560000 91282 4602 0.0504151968625
4565000 91386 4608 0.0504234784321
4570000 91472 4612 0.0504198005947
4575000 91560 4616 0.0504150283967
4580000 91681 4623 0.050424842661
4585000 91774 4627 0.0504173295269
4590000 91861 4638 0.0504893262647
4595000 91968 4643 0.0504849512874
4600000 92060 4646 0.0504670866826
4605000 92147 4650 0.0504628474069
4610000 92266 4661 0.0505169835042
4615000 92367 4665 0.0505050505051
4620000 92467 4669 0.0504936896406
4625000 92562 4672 0.050474276701
4630000 92667 4680 0.0505034154553
4635000 92762 4684 0.050494814687
4640000 92854 4686 0.0504663234756
4645000 92941 4690 0.0504621211306
4650000 93045 4697 0.0504809500779
4655000 93128 4700 0.0504681728374
4660000 93243 4706 0.0504702765891
4665000 93347 4711 0.0504676100999
4670000 93454 4717 0.0504740300041
4675000 93545 4723 0.0504890694318
4680000 93646 4732 0.050530722081
4685000 93755 4736 0.0505146392192
4690000 93849 4738 0.0504853541327
4695000 93954 4745 0.0505034378526
4700000 94057 4749 0.050490659919
4705000 94164 4753 0.0504757656854
4710000 94263 4756 0.0504545792092
4715000 94358 4758 0.0504249772144
4720000 94485 4764 0.0504207016987
4725000 94594 4772 0.0504471742394
4730000 94702 4774 0.0504107621803
4735000 94801 4779 0.0504108606449
4740000 94890 4783 0.0504057329539
4745000 95001 4789 0.0504099956843
4750000 95070 4794 0.0504260018933
4755000 95176 4802 0.0504538959402
4760000 95264 4804 0.0504282835069
4765000 95354 4807 0.0504121484154
4770000 95462 4812 0.0504074919863
4775000 95563 4815 0.0503856094932
4780000 95644 4820 0.0503952155912
4785000 95736 4827 0.050419904738
4790000 95834 4833 0.0504309535238
4795000 95928 4837 0.0504232340922
4800000 96024 4846 0.0504665500292
4805000 96138 4849 0.0504379121679
4810000 96247 4854 0.0504327407608
4815000 96338 4858 0.0504266229318
4820000 96433 4862 0.0504184252279
4825000 96540 4869 0.0504350528278
4830000 96653 4873 0.0504174728151
4835000 96750 4879 0.0504289405685
4840000 96843 4883 0.050421816755
4845000 96938 4887 0.0504136664672
4850000 97039 4894 0.0504333309288
4855000 97129 4898 0.05042778161
4860000 97237 4905 0.0504437611197
4865000 97330 4911 0.0504572074386
4870000 97440 4918 0.0504720853859
4875000 97537 4924 0.0504834062971
4880000 97644 4932 0.0505100159764
4885000 97734 4938 0.0505248941003
4890000 97830 4944 0.0505366452009
4895000 97946 4952 0.0505584709942
4900000 98041 4954 0.0505298803562
4905000 98141 4956 0.0504987721747
4910000 98244 4961 0.0504967224462
4915000 98337 4963 0.0504693045344
4920000 98431 4970 0.0504922229785
4925000 98537 4974 0.0504785004618
4930000 98629 4977 0.0504618317128
4935000 98751 4978 0.0504096161052
4940000 98848 4987 0.0504511977986
4945000 98949 4995 0.0504805505867
4950000 99035 4999 0.0504771040541
4955000 99138 5002 0.0504549214227
4960000 99243 5005 0.0504317684874
4965000 99346 5011 0.0504398767942
4970000 99441 5015 0.0504319144015
4975000 99540 5020 0.0504319871408
4980000 99648 5025 0.050427504817
4985000 99756 5027 0.0503929588195
4990000 99862 5036 0.0504295928381
4995000 99965 5041 0.0504276496774
5000000 100061 5048 0.0504492259722
Total runtime: 1403465 ms
Simulation started at: 2015-02-14 08:28:36
Input file: sampleData.txt
Policy: Softmax
Lines Evaluations Clicks CTR 
Simulation started at: 2015-02-14 08:29:01
Input file: sampleData.txt
Policy: Softmax
Lines Evaluations Clicks CTR 
496 10 0 0.0
836 20 0 0.0
1181 30 2 0.0666666666667
1821 40 2 0.05
2439 50 4 0.08
2784 60 5 0.0833333333333
3305 70 6 0.0857142857143
3850 80 6 0.075
4438 90 8 0.0888888888889
4661 100 9 0.09
5593 110 9 0.0818181818182
6125 120 9 0.075
6846 130 9 0.0692307692308
7251 140 10 0.0714285714286
7972 150 11 0.0733333333333
8631 160 11 0.06875
9138 170 11 0.0647058823529
9950 180 11 0.0611111111111
10511 190 14 0.0736842105263
11068 200 14 0.07
11562 210 14 0.0666666666667
12175 220 15 0.0681818181818
12515 230 15 0.0652173913043
12795 240 15 0.0625
13429 250 15 0.06
13953 260 15 0.0576923076923
14502 270 16 0.0592592592593
15203 280 16 0.0571428571429
15752 290 17 0.0586206896552
16012 300 17 0.0566666666667
16337 310 18 0.058064516129
16959 320 18 0.05625
17490 330 18 0.0545454545455
18010 340 19 0.0558823529412
19250 350 19 0.0542857142857
19640 360 19 0.0527777777778
19996 370 19 0.0513513513514
20350 380 19 0.05
20904 390 19 0.0487179487179
21629 400 19 0.0475
22014 410 19 0.0463414634146
22555 420 19 0.0452380952381
23088 430 20 0.046511627907
23643 440 20 0.0454545454545
24065 450 20 0.0444444444444
24553 460 20 0.0434782608696
25094 470 21 0.0446808510638
25607 480 22 0.0458333333333
25872 490 22 0.0448979591837
26085 500 22 0.044
26634 510 22 0.043137254902
27035 520 24 0.0461538461538
27658 530 25 0.0471698113208
28010 540 27 0.05
28614 550 27 0.0490909090909
29026 560 27 0.0482142857143
29908 570 27 0.0473684210526
30400 580 27 0.0465517241379
30939 590 27 0.0457627118644
31664 600 27 0.045
32253 610 27 0.044262295082
32658 620 27 0.0435483870968
33056 630 28 0.0444444444444
33543 640 28 0.04375
34076 650 28 0.0430769230769
34540 660 30 0.0454545454545
35282 670 31 0.0462686567164
35977 680 31 0.0455882352941
36456 690 32 0.0463768115942
37109 700 32 0.0457142857143
37544 710 33 0.0464788732394
38186 720 34 0.0472222222222
38716 730 34 0.0465753424658
38945 740 35 0.0472972972973
39373 750 35 0.0466666666667
40085 760 36 0.0473684210526
40581 770 37 0.0480519480519
40966 780 37 0.0474358974359
41431 790 37 0.046835443038
41788 800 37 0.04625
42175 810 37 0.0456790123457
42735 820 38 0.0463414634146
43466 830 39 0.0469879518072
44209 840 39 0.0464285714286
44726 850 40 0.0470588235294
45161 860 40 0.046511627907
45768 870 42 0.048275862069
46326 880 42 0.0477272727273
46870 890 42 0.047191011236
47340 900 43 0.0477777777778
47798 910 43 0.0472527472527
48111 920 43 0.0467391304348
48346 930 43 0.0462365591398
48987 940 43 0.0457446808511
49684 950 43 0.0452631578947
50133 960 44 0.0458333333333
50664 970 44 0.0453608247423
51369 980 44 0.0448979591837
52102 990 44 0.0444444444444
52595 1000 45 0.045
52950 1010 45 0.0445544554455
53471 1020 45 0.0441176470588
54083 1030 45 0.0436893203883
54628 1040 45 0.0432692307692
55182 1050 45 0.0428571428571
55923 1060 45 0.0424528301887
56142 1070 45 0.0420560747664
56990 1080 45 0.0416666666667
57442 1090 45 0.0412844036697
57841 1100 46 0.0418181818182
58199 1110 48 0.0432432432432
58390 1120 48 0.0428571428571
58783 1130 48 0.0424778761062
59293 1140 50 0.0438596491228
59538 1150 50 0.0434782608696
59960 1160 51 0.0439655172414
60271 1170 51 0.0435897435897
60667 1180 53 0.0449152542373
61189 1190 54 0.0453781512605
61765 1200 56 0.0466666666667
62422 1210 59 0.0487603305785
62823 1220 59 0.0483606557377
63346 1230 62 0.050406504065
63936 1240 63 0.0508064516129
64253 1250 64 0.0512
64842 1260 65 0.0515873015873
65307 1270 65 0.0511811023622
65663 1280 66 0.0515625
66222 1290 67 0.0519379844961
66777 1300 67 0.0515384615385
67177 1310 68 0.0519083969466
67679 1320 68 0.0515151515152
68371 1330 69 0.0518796992481
68782 1340 71 0.0529850746269
69226 1350 71 0.0525925925926
69788 1360 71 0.0522058823529
70404 1370 71 0.0518248175182
71082 1380 71 0.0514492753623
71541 1390 71 0.0510791366906
72190 1400 72 0.0514285714286
72515 1410 72 0.0510638297872
73272 1420 72 0.0507042253521
73873 1430 72 0.0503496503497
74399 1440 73 0.0506944444444
75098 1450 73 0.0503448275862
75679 1460 75 0.0513698630137
76550 1470 75 0.0510204081633
76956 1480 75 0.0506756756757
77569 1490 75 0.0503355704698
77949 1500 75 0.05
78794 1510 75 0.0496688741722
79304 1520 75 0.0493421052632
79817 1530 76 0.0496732026144
80205 1540 77 0.05
80583 1550 78 0.0503225806452
81220 1560 78 0.05
81973 1570 78 0.0496815286624
82320 1580 78 0.0493670886076
