t,EnsembleRandomUpdateAll,Naive3,EnsembleEAnnealingUpdateAll,UCB1,Softmax0.1,Random,eAnnealing,EXP30.5,eGreedy0.1,
208200,,,0.0779154658982,0.0519500480307,0.0321229586936,0.0344572526417,0.0764937560038,0.0428818443804,0.0743131604227,
208300,,,0.0779020643303,0.0519491118579,0.0321171387422,0.0344503120499,0.0764906385022,0.0428852616419,0.0742918867019,
208400,,,0.0778886756238,0.0519481765835,0.0321161228407,0.0344481765835,0.0765067178503,0.0428838771593,0.0743138195777,
208500,,,0.0778752997602,0.0519424460432,0.0321103117506,0.0344364508393,0.0765035971223,0.0428729016787,0.0743165467626,
208600,,,0.0778859060403,0.0519511025887,0.0321188878236,0.0344391179291,0.0765148609779,0.0428715244487,0.074309683605,
208700,,,0.077872544322,0.0519597508385,0.0321130809775,0.0344321993292,0.0765213224724,0.0428749401054,0.074317201725,
208800,,,0.0778687739464,0.0519636015326,0.0321024904215,0.0344252873563,0.0765325670498,0.0428639846743,0.0743199233716,
208900,,,0.077893729057,0.0519578745811,0.0320919100048,0.0344327429392,0.0765438008617,0.0428530397319,0.0743274293921,
209000,,,0.0779043062201,0.051956937799,0.0320861244019,0.0344449760766,0.0765502392344,0.0428564593301,0.0743205741627,
209100,,,0.0779100908656,0.0519416547107,0.0320755619321,0.0344285031086,0.076537541846,0.0428550932568,0.074318507891,
209200,,,0.0779110898662,0.0519407265774,0.032069789675,0.0344263862333,0.0765296367113,0.04284416826,0.0743164435946,
209300,,,0.0779311992355,0.0519397993311,0.0320544672719,0.0344290492117,0.0765265169613,0.0428523650263,0.0743000477783,
209400,,,0.0779512893983,0.051929321872,0.0320534861509,0.0344126074499,0.0765281757402,0.042841451767,0.0743123209169,
209500,,,0.0779618138425,0.0519331742243,0.0320381861575,0.0344200477327,0.0765202863962,0.0428544152745,0.0743198090692,
209600,,,0.0779532442748,0.0519131679389,0.0320372137405,0.0344227099237,0.0765267175573,0.042838740458,0.0743463740458,
209700,,,0.0779446828803,0.0519027181688,0.0320314735336,0.0344206008584,0.0765522174535,0.0428421554602,0.0743538388174,
209800,,,0.0779599618684,0.0518827454719,0.0320257387989,0.0344137273594,0.0765681601525,0.0428551000953,0.0743326978074,
209900,,,0.0779752262982,0.0518866126727,0.0320152453549,0.0344306812768,0.076574559314,0.0428680323964,0.0743306336351,
210000,,,0.0779904761905,0.0518761904762,0.0320095238095,0.0344333333333,0.0765761904762,0.0428714285714,0.0743571428571,
210100,,,0.0779819133746,0.0518752974774,0.0320133269871,0.0344264635888,0.0765968586387,0.0428700618753,0.074359828653,
210200,,,0.077973358706,0.0518744053283,0.0320218839201,0.0344196003806,0.0766127497621,0.0428591817317,0.0743482397716,
210300,,,0.0779553019496,0.0518687589158,0.0320209224917,0.0344127436995,0.076623870661,0.0428530670471,0.0743414170233,
210400,,,0.0779657794677,0.051858365019,0.0320152091255,0.0344011406844,0.0766064638783,0.0428326996198,0.0743441064639,
210500,,,0.0779667458432,0.0518432304038,0.0320047505938,0.0343990498812,0.0765890736342,0.0428456057007,0.0743562945368,
