t,Naive3,UCB1,Random,Softmax0.1,EnsembleEAnnealingUpdateAll,EnsembleRandomUpdateAll,EXP30.5,eAnnealing,eGreedy0.1,
8200,0.0038249289,0.0000000011,0.0025758436,0.0108196530,0.0025861759,,0.0027286205,0.0017879202,0.0020706345,
8300,0.0036420433,0.0000000000,0.0025503538,0.0107405883,0.0025640131,,0.0026790008,0.0018727352,0.0019711717,
8400,0.0036219509,0.0000000009,0.0024621724,0.0106968708,0.0025522135,,0.0025977398,0.0018885721,0.0019264392,
8500,0.0035780956,0.0000000000,0.0024629142,0.0106836658,0.0026526391,,0.0025626453,0.0019596624,0.0019674045,
8600,0.0036909402,0.0000000000,0.0023653135,0.0107526981,0.0027301226,,0.0026196619,0.0020226988,0.0020896075,
8700,0.0036669009,0.0000000014,0.0023576262,0.0107030218,0.0027791289,,0.0026023929,0.0020156716,0.0021054363,
8800,0.0036739124,0.0000000013,0.0023369935,0.0107109431,0.0027836310,,0.0025892888,0.0020394166,0.0021345294,
8900,0.0037403413,0.0000000011,0.0022751758,0.0107506563,0.0027680023,,0.0025751100,0.0020812111,0.0021259128,
9000,0.0037458729,0.0000000013,0.0022879676,0.0107192953,0.0028355782,,0.0026336459,0.0020673535,0.0021691629,
9100,0.0037123941,0.0000000008,0.0023260031,0.0107759062,0.0027355676,,0.0026699754,0.0021085351,0.0021654022,
9200,0.0035972514,0.0000000012,0.0022644885,0.0108744590,0.0027114682,,0.0026345189,0.0021444746,0.0022258559,
9300,0.0036364917,0.0000000000,0.0022326945,0.0108589676,0.0027970381,,0.0025643377,0.0021565597,0.0022932067,
9400,0.0037121156,0.0000000012,0.0021821341,0.0109256182,0.0029101582,,0.0026005870,0.0022253716,0.0023803177,
9500,0.0038831882,0.0000000011,0.0022244826,0.0108988940,0.0029806997,,0.0025819889,0.0023395748,0.0023993920,
9600,0.0040269860,0.0000000000,0.0021918227,0.0108894646,0.0029884159,,0.0026134695,0.0023732709,0.0024223846,
9700,0.0040580031,0.0000000000,0.0021715808,0.0109280425,0.0029992414,,0.0026143389,0.0023822614,0.0023769762,
9800,0.0041181909,0.0000000009,0.0021566499,0.0109093325,0.0030293192,,0.0025568098,0.0023442605,0.0023826257,
9900,0.0041112559,0.0000000005,0.0021033995,0.0109035823,0.0029869096,,0.0024935723,0.0023956081,0.0024571075,
10000,0.0040971657,0.0000000000,0.0020711795,0.0109674139,0.0030495215,,0.0024463783,0.0024438494,0.0025628240,
10100,0.0041851920,0.0000000000,0.0020279542,0.0109767811,0.0030535568,,0.0024762374,0.0024810625,0.0026314539,
10200,0.0043368254,0.0000000000,0.0020530768,0.0109926155,0.0030479663,,0.0024425476,0.0024608429,0.0026151061,
